Index,lng,lat,density
0,103.819836,1.352083,0
1,103.819836,1.379062648,10
2,103.819836,1.406042296,19
3,103.819836,1.433021945,8
4,103.819836,1.460001593,35
5,103.819836,1.325103352,19
6,103.819836,1.298123704,32
7,103.819836,1.271144055,43
8,103.819836,1.244164407,0
9,103.835417,1.35208295,31
10,103.835417,1.379062598,47
11,103.835417,1.406042246,8
12,103.835417,1.433021895,58
13,103.835417,1.460001543,12
14,103.835417,1.325103302,27
15,103.835417,1.298123654,41
16,103.835417,1.271144005,32
17,103.835417,1.244164357,0
18,103.8509981,1.3520829,36
19,103.8509981,1.379062548,44
20,103.8509981,1.406042196,0
21,103.8509981,1.433021845,12
22,103.8509981,1.460001493,0
23,103.8509981,1.325103252,47
24,103.8509981,1.298123604,77
25,103.8509981,1.271143956,15
26,103.8509981,1.244164307,0
27,103.8665791,1.35208285,46
28,103.8665791,1.379062498,31
29,103.8665791,1.406042146,16
30,103.8665791,1.433021795,0
31,103.8665791,1.460001443,0
32,103.8665791,1.325103202,45
33,103.8665791,1.298123554,29
34,103.8665791,1.271143906,8
35,103.8665791,1.244164257,0
36,103.8821602,1.3520828,48
37,103.8821602,1.379062448,59
38,103.8821602,1.406042096,0
39,103.8821602,1.433021745,0
40,103.8821602,1.460001393,0
41,103.8821602,1.325103152,49
42,103.8821602,1.298123504,24
43,103.8821602,1.271143856,0
44,103.8821602,1.244164207,0
45,103.8977412,1.35208275,31
46,103.8977412,1.379062398,49
47,103.8977412,1.406042046,17
48,103.8977412,1.433021695,0
49,103.8977412,1.460001343,0
50,103.8977412,1.325103102,50
51,103.8977412,1.298123454,24
52,103.8977412,1.271143806,0
53,103.8977412,1.244164157,0
54,103.9133223,1.3520827,0
55,103.9133223,1.379062348,13
56,103.9133223,1.406041997,22
57,103.9133223,1.433021645,0
58,103.9133223,1.460001293,0
59,103.9133223,1.325103052,39
60,103.9133223,1.298123404,19
61,103.9133223,1.271143756,0
62,103.9133223,1.244164107,0
63,103.9289033,1.35208265,30
64,103.9289033,1.379062298,18
65,103.9289033,1.406041947,0
66,103.9289033,1.433021595,0
67,103.9289033,1.460001243,0
68,103.9289033,1.325103002,57
69,103.9289033,1.298123354,4
70,103.9289033,1.271143706,0
71,103.9289033,1.244164057,0
72,103.9444844,1.3520826,51
73,103.9444844,1.379062248,51
74,103.9444844,1.406041897,0
75,103.9444844,1.433021545,0
76,103.9444844,1.460001193,0
77,103.9444844,1.325102952,42
78,103.9444844,1.298123304,0
79,103.9444844,1.271143656,0
80,103.9444844,1.244164007,0
81,103.9600654,1.35208255,47
82,103.9600654,1.379062198,26
83,103.9600654,1.406041847,0
84,103.9600654,1.433021495,0
85,103.9600654,1.460001143,0
86,103.9600654,1.325102902,16
87,103.9600654,1.298123254,0
88,103.9600654,1.271143606,0
89,103.9600654,1.244163958,0
90,103.9756465,1.3520825,11
91,103.9756465,1.379062148,29
92,103.9756465,1.406041797,0
93,103.9756465,1.433021445,0
94,103.9756465,1.460001093,0
95,103.9756465,1.325102852,0
96,103.9756465,1.298123204,0
97,103.9756465,1.271143556,0
98,103.9756465,1.244163908,0
99,103.9912275,1.35208245,4
100,103.9912275,1.379062098,8
101,103.9912275,1.406041747,0
102,103.9912275,1.433021395,0
103,103.9912275,1.460001043,0
104,103.9912275,1.325102802,0
105,103.9912275,1.298123154,0
106,103.9912275,1.271143506,0
107,103.9912275,1.244163858,0
108,104.0068085,1.3520824,0
109,104.0068085,1.379062048,1
110,104.0068085,1.406041697,0
111,104.0068085,1.433021345,0
112,104.0068085,1.460000993,0
113,104.0068085,1.325102752,0
114,104.0068085,1.298123104,0
115,104.0068085,1.271143456,0
116,104.0068085,1.244163808,0
117,103.804255,1.379062598,0
118,103.804255,1.406042246,6
119,103.804255,1.433021895,24
120,103.804255,1.460001543,35
121,103.804255,1.325103302,15
122,103.804255,1.298123654,42
123,103.804255,1.271144005,25
124,103.804255,1.244164357,0
125,103.804255,1.35208295,0
126,103.7886739,1.379062548,0
127,103.7886739,1.406042196,7
128,103.7886739,1.433021845,59
129,103.7886739,1.460001493,5
130,103.7886739,1.325103252,22
131,103.7886739,1.298123604,52
132,103.7886739,1.271143956,10
133,103.7886739,1.244164307,0
134,103.7886739,1.3520829,0
135,103.7730929,1.379062498,37
136,103.7730929,1.406042146,9
137,103.7730929,1.433021795,48
138,103.7730929,1.460001443,3
139,103.7730929,1.325103202,27
140,103.7730929,1.298123554,49
141,103.7730929,1.271143906,0
142,103.7730929,1.244164257,0
143,103.7730929,1.35208285,14
144,103.7575118,1.379062448,53
145,103.7575118,1.406042096,31
146,103.7575118,1.433021745,22
147,103.7575118,1.460001393,2
148,103.7575118,1.325103152,24
149,103.7575118,1.298123504,20
150,103.7575118,1.271143856,0
151,103.7575118,1.244164207,0
152,103.7575118,1.3520828,52
153,103.7419308,1.379062398,48
154,103.7419308,1.406042046,9
155,103.7419308,1.433021695,15
156,103.7419308,1.460001343,0
157,103.7419308,1.325103102,41
158,103.7419308,1.298123454,10
159,103.7419308,1.271143806,0
160,103.7419308,1.244164157,0
161,103.7419308,1.35208275,39
162,103.7263497,1.379062348,10
163,103.7263497,1.406041997,0
164,103.7263497,1.433021645,2
165,103.7263497,1.460001293,0
166,103.7263497,1.325103052,31
167,103.7263497,1.298123404,0
168,103.7263497,1.271143756,0
169,103.7263497,1.244164107,0
170,103.7263497,1.3520827,38
171,103.7107687,1.379062298,6
172,103.7107687,1.406041947,0
173,103.7107687,1.433021595,12
174,103.7107687,1.460001243,0
175,103.7107687,1.325103002,39
176,103.7107687,1.298123354,0
177,103.7107687,1.271143706,1
178,103.7107687,1.244164057,0
179,103.7107687,1.35208265,38
180,103.6951876,1.379062248,21
181,103.6951876,1.406041897,10
182,103.6951876,1.433021545,0
183,103.6951876,1.460001193,0
184,103.6951876,1.325102952,40
185,103.6951876,1.298123304,7
186,103.6951876,1.271143656,0
187,103.6951876,1.244164007,0
188,103.6951876,1.3520826,37
189,103.6796066,1.379062198,1
190,103.6796066,1.406041847,0
191,103.6796066,1.433021495,0
192,103.6796066,1.460001143,0
193,103.6796066,1.325102902,49
194,103.6796066,1.298123254,9
195,103.6796066,1.271143606,0
196,103.6796066,1.244163958,0
197,103.6796066,1.35208255,13
198,103.6640255,1.379062148,0
199,103.6640255,1.406041797,0
200,103.6640255,1.433021445,0
201,103.6640255,1.460001093,0
202,103.6640255,1.325102852,24
203,103.6640255,1.298123204,15
204,103.6640255,1.271143556,0
205,103.6640255,1.244163908,0
206,103.6640255,1.3520825,0
207,103.6484445,1.379062098,0
208,103.6484445,1.406041747,0
209,103.6484445,1.433021395,0
210,103.6484445,1.460001043,0
211,103.6484445,1.325102802,36
212,103.6484445,1.298123154,2
213,103.6484445,1.271143506,0
214,103.6484445,1.244163858,0
215,103.6484445,1.35208245,0
216,103.6328635,1.379062048,0
217,103.6328635,1.406041697,0
218,103.6328635,1.433021345,0
219,103.6328635,1.460000993,0
220,103.6328635,1.325102752,18
221,103.6328635,1.298123104,8
222,103.6328635,1.271143456,0
223,103.6328635,1.244163808,0
224,103.6328635,1.3520824,1
225,103.6172824,1.379061998,0
226,103.6172824,1.406041647,0
227,103.6172824,1.433021295,0
228,103.6172824,1.460000943,0
229,103.6172824,1.325102702,0
230,103.6172824,1.298123054,2
231,103.6172824,1.271143406,0
232,103.6172824,1.244163758,0
233,103.8276266,1.365572812,24
234,103.8276267,1.392552459,11
235,103.8276267,1.419532107,31
236,103.8276268,1.446511755,43
237,103.8276269,1.473491403,0
238,103.8276265,1.338593164,8
239,103.8276264,1.311613516,30
240,103.8276263,1.284633868,45
241,103.8276262,1.25765422,1
242,103.8432076,1.365572762,49
243,103.8432077,1.39255241,30
244,103.8432078,1.419532057,35
245,103.8432079,1.446511705,4
246,103.843208,1.473491353,0
247,103.8432075,1.338593114,58
248,103.8432074,1.311613466,34
249,103.8432074,1.284633818,60
250,103.8432073,1.25765417,0
251,103.8587887,1.365572712,51
252,103.8587887,1.39255236,10
253,103.8587888,1.419532007,8
254,103.8587889,1.446511655,0
255,103.858789,1.473491303,0
256,103.8587886,1.338593064,45
257,103.8587885,1.311613416,49
258,103.8587884,1.284633768,27
259,103.8587883,1.25765412,1
260,103.8743697,1.365572662,44
261,103.8743698,1.39255231,36
262,103.8743699,1.419531957,1
263,103.87437,1.446511605,0
264,103.8743701,1.473491253,0
265,103.8743696,1.338593014,43
266,103.8743695,1.311613366,39
267,103.8743694,1.284633718,1
268,103.8743694,1.25765407,0
269,103.8899507,1.365572612,58
270,103.8899508,1.39255226,50
271,103.8899509,1.419531908,0
272,103.889951,1.446511555,0
273,103.8899511,1.473491203,0
274,103.8899507,1.338592964,35
275,103.8899506,1.311613316,43
276,103.8899505,1.284633668,0
277,103.8899504,1.25765402,0
278,103.9055318,1.365572562,20
279,103.9055319,1.39255221,55
280,103.905532,1.419531858,5
281,103.9055321,1.446511505,0
282,103.9055322,1.473491153,0
283,103.9055317,1.338592914,26
284,103.9055316,1.311613266,58
285,103.9055315,1.284633618,0
286,103.9055315,1.25765397,0
287,103.9211128,1.365572512,6
288,103.9211129,1.39255216,8
289,103.921113,1.419531808,0
290,103.9211131,1.446511455,0
291,103.9211132,1.473491103,0
292,103.9211128,1.338592864,22
293,103.9211127,1.311613216,55
294,103.9211126,1.284633568,0
295,103.9211125,1.25765392,0
296,103.9366939,1.365572462,20
297,103.936694,1.39255211,0
298,103.9366941,1.419531758,0
299,103.9366942,1.446511406,0
300,103.9366942,1.473491053,0
301,103.9366938,1.338592814,34
302,103.9366937,1.311613166,27
303,103.9366936,1.284633518,0
304,103.9366935,1.25765387,0
305,103.9522749,1.365572412,48
306,103.952275,1.39255206,0
307,103.9522751,1.419531708,0
308,103.9522752,1.446511356,0
309,103.9522753,1.473491003,0
310,103.9522748,1.338592764,55
311,103.9522748,1.311613116,9
312,103.9522747,1.284633468,0
313,103.9522746,1.25765382,0
314,103.967856,1.365572362,48
315,103.9678561,1.39255201,1
316,103.9678562,1.419531658,0
317,103.9678562,1.446511306,0
318,103.9678563,1.473490953,0
319,103.9678559,1.338592714,13
320,103.9678558,1.311613066,0
321,103.9678557,1.284633418,0
322,103.9678556,1.25765377,0
323,103.983437,1.365572312,7
324,103.9834371,1.39255196,23
325,103.9834372,1.419531608,0
326,103.9834373,1.446511256,0
327,103.9834374,1.473490904,0
328,103.9834369,1.338592664,4
329,103.9834368,1.311613016,1
330,103.9834368,1.284633368,0
331,103.9834367,1.25765372,0
332,103.9990181,1.365572262,2
333,103.9990182,1.39255191,10
334,103.9990182,1.419531558,0
335,103.9990183,1.446511206,0
336,103.9990184,1.473490854,0
337,103.999018,1.338592614,0
338,103.9990179,1.311612966,0
339,103.9990178,1.284633318,0
340,103.9990177,1.25765367,0
341,104.0145991,1.365572212,0
342,104.0145992,1.39255186,0
343,104.0145993,1.419531508,0
344,104.0145994,1.446511156,0
345,104.0145995,1.473490804,0
346,104.014599,1.338592564,0
347,104.0145989,1.311612916,0
348,104.0145989,1.284633268,0
349,104.0145988,1.25765362,0
350,103.8120456,1.39255241,4
351,103.8120457,1.419532057,3
352,103.8120458,1.446511705,49
353,103.8120459,1.473491353,4
354,103.8120454,1.338593114,4
355,103.8120453,1.311613466,18
356,103.8120453,1.284633818,60
357,103.8120452,1.25765417,1
358,103.8120455,1.365572762,0
359,103.7964646,1.39255236,0
360,103.7964647,1.419532007,6
361,103.7964647,1.446511655,46
362,103.7964648,1.473491303,1
363,103.7964644,1.338593064,8
364,103.7964643,1.311613416,34
365,103.7964642,1.284633768,18
366,103.7964641,1.25765412,0
367,103.7964645,1.365572712,0
368,103.7808835,1.39255231,0
369,103.7808836,1.419531957,2
370,103.7808837,1.446511605,38
371,103.7808838,1.473491253,0
372,103.7808833,1.338593014,19
373,103.7808833,1.311613366,38
374,103.7808832,1.284633718,44
375,103.7808831,1.25765407,0
376,103.7808834,1.365572662,5
377,103.7653025,1.39255226,14
378,103.7653026,1.419531908,5
379,103.7653027,1.446511555,10
380,103.7653027,1.473491203,0
381,103.7653023,1.338592964,36
382,103.7653022,1.311613316,52
383,103.7653021,1.284633668,8
384,103.765302,1.25765402,0
385,103.7653024,1.365572612,34
386,103.7497214,1.39255221,39
387,103.7497215,1.419531858,17
388,103.7497216,1.446511505,0
389,103.7497217,1.473491153,0
390,103.7497213,1.338592914,43
391,103.7497212,1.311613266,19
392,103.7497211,1.284633618,0
393,103.749721,1.25765397,0
394,103.7497213,1.365572562,32
395,103.7341404,1.39255216,6
396,103.7341405,1.419531808,0
397,103.7341406,1.446511455,6
398,103.7341407,1.473491103,0
399,103.7341402,1.338592864,41
400,103.7341401,1.311613216,10
401,103.73414,1.284633568,0
402,103.73414,1.25765392,0
403,103.7341403,1.365572512,4
404,103.7185593,1.39255211,0
405,103.7185594,1.419531758,0
406,103.7185595,1.446511406,0
407,103.7185596,1.473491053,0
408,103.7185592,1.338592814,58
409,103.7185591,1.311613166,16
410,103.718559,1.284633518,1
411,103.7185589,1.25765387,0
412,103.7185592,1.365572462,3
413,103.7029783,1.39255206,3
414,103.7029784,1.419531708,14
415,103.7029785,1.446511356,3
416,103.7029786,1.473491003,0
417,103.7029781,1.338592764,73
418,103.702978,1.311613116,25
419,103.7029779,1.284633468,0
420,103.7029779,1.25765382,1
421,103.7029782,1.365572412,5
422,103.6873972,1.39255201,0
423,103.6873973,1.419531658,0
424,103.6873974,1.446511306,0
425,103.6873975,1.473490953,0
426,103.6873971,1.338592714,28
427,103.687397,1.311613066,32
428,103.6873969,1.284633418,0
429,103.6873968,1.25765377,0
430,103.6873972,1.365572362,13
431,103.6718162,1.39255196,0
432,103.6718163,1.419531608,0
433,103.6718164,1.446511256,0
434,103.6718165,1.473490904,0
435,103.671816,1.338592664,4
436,103.6718159,1.311613016,32
437,103.6718159,1.284633368,0
438,103.6718158,1.25765372,0
439,103.6718161,1.365572312,0
440,103.6562352,1.39255191,0
441,103.6562352,1.419531558,0
442,103.6562353,1.446511206,0
443,103.6562354,1.473490854,0
444,103.656235,1.338592614,5
445,103.6562349,1.311612966,38
446,103.6562348,1.284633318,0
447,103.6562347,1.25765367,0
448,103.6562351,1.365572262,0
449,103.6406541,1.39255186,0
450,103.6406542,1.419531508,0
451,103.6406543,1.446511156,0
452,103.6406544,1.473490804,0
453,103.6406539,1.338592564,26
454,103.6406539,1.311612916,5
455,103.6406538,1.284633268,3
456,103.6406537,1.25765362,0
457,103.640654,1.365572212,0
458,103.6250731,1.39255181,0
459,103.6250732,1.419531458,0
460,103.6250732,1.446511106,0
461,103.6250733,1.473490754,0
462,103.6250729,1.338592514,0
463,103.6250728,1.311612866,10
464,103.6250727,1.284633218,3
465,103.6250726,1.25765357,0
